Beach Name,Battery Life,Water Temperature,Turbidity,Transducer Depth,Wave Height,Wave Period,Measurement Timestamp,Measurement ID,Measurement Timestamp Label
Calumet Beach,10.7,19.1,3.12,,0.112,2,09/14/2015 08:00:00 PM,CalumetBeach201509142000,09/14/2015 8:00 PM
Calumet Beach,10.7,19.2,3,,0.108,2,09/14/2015 07:00:00 PM,CalumetBeach201509141900,09/14/2015 7:00 PM
Rainbow Beach,11.5,19.1,1.9,,0.125,3,09/14/2015 07:00:00 PM,RainbowBeach201509141900,09/14/2015 7:00 PM
Calumet Beach,10.7,19.3,2.87,,0.13,2,09/14/2015 06:00:00 PM,CalumetBeach201509141800,09/14/2015 6:00 PM
Rainbow Beach,11.5,19.2,2.08,,0.125,3,09/14/2015 06:00:00 PM,RainbowBeach201509141800,09/14/2015 6:00 PM
Rainbow Beach,11.5,19.2,2.11,,0.116,3,09/14/2015 05:00:00 PM,RainbowBeach201509141700,09/14/2015 5:00 PM
Calumet Beach,10.7,19.3,2.87,,0.141,2,09/14/2015 05:00:00 PM,CalumetBeach201509141700,09/14/2015 5:00 PM
Calumet Beach,10.7,19.4,1.96,,0.127,2,09/14/2015 04:00:00 PM,CalumetBeach201509141600,09/14/2015 4:00 PM
Rainbow Beach,11.5,19.2,2.21,,0.121,3,09/14/2015 04:00:00 PM,RainbowBeach201509141600,09/14/2015 4:00 PM
Calumet Beach,10.7,19.2,1.86,,0.126,2,09/14/2015 03:00:00 PM,CalumetBeach201509141500,09/14/2015 3:00 PM
Rainbow Beach,11.5,19.2,2.68,,0.113,10,09/14/2015 03:00:00 PM,RainbowBeach201509141500,09/14/2015 3:00 PM
Calumet Beach,10.7,19.1,1.79,,0.113,2,09/14/2015 02:00:00 PM,CalumetBeach201509141400,09/14/2015 2:00 PM
Rainbow Beach,11.5,19.1,2.93,,0.111,3,09/14/2015 02:00:00 PM,RainbowBeach201509141400,09/14/2015 2:00 PM
Calumet Beach,10.7,18.9,1.92,,0.124,2,09/14/2015 01:00:00 PM,CalumetBeach201509141300,09/14/2015 1:00 PM
Rainbow Beach,11.5,19,3.62,,0.112,5,09/14/2015 01:00:00 PM,RainbowBeach201509141300,09/14/2015 1:00 PM
Calumet Beach,10.7,18.7,1.9,,0.116,2,09/14/2015 12:00:00 PM,CalumetBeach201509141200,09/14/2015 12:00 PM
Rainbow Beach,11.5,18.7,3.42,,0.112,3,09/14/2015 12:00:00 PM,RainbowBeach201509141200,09/14/2015 12:00 PM
Calumet Beach,10.7,18.5,2.06,,0.105,2,09/14/2015 11:00:00 AM,CalumetBeach201509141100,09/14/2015 11:00 AM
Rainbow Beach,11.5,18.4,4.21,,0.107,3,09/14/2015 11:00:00 AM,RainbowBeach201509141100,09/14/2015 11:00 AM
Calumet Beach,10.7,18.3,2.07,,0.089,2,09/14/2015 10:00:00 AM,CalumetBeach201509141000,09/14/2015 10:00 AM
Rainbow Beach,11.5,18.2,4.58,,0.106,3,09/14/2015 10:00:00 AM,RainbowBeach201509141000,09/14/2015 10:00 AM
Calumet Beach,10.7,18.1,2.08,,0.086,2,09/14/2015 09:00:00 AM,CalumetBeach201509140900,09/14/2015 9:00 AM
